俗名,拉丁学名,中文学名,目,bio_introduction
花狮,Antennarius striatus,带纹躄鱼,副棘鳍总目,色彩可变的， 时常淡黄色的，橘色的，和绿色的， 灰色或褐色的有黑色的斑纹或细长的斑块， 有时纯黑色的。  突出的线从眼放射。   支撑诱饵的硬骨在上嘴唇之前延伸。   长度通常到大约 20 公分， 但是偶然比较大的在亚热带中.
橙娃娃,Antennarius pictus,白斑躄鱼,副棘鳍总目,色彩可变的; 有一个黑色的阶段有白色的胸鳍鳍条顶端。  诱饵的骨质部份有很多的深色交叉条纹而且几乎两倍长于第二背鳍棘; 饵球一个平附肢的细长簇。
海草,Histrio histrio,裸躄鱼,副棘鳍总目,有色彩斑点的绿色有正在混合着漂浮的  马尾藻  杂草的很多的肉质像杂草一样的表皮附肢  在它通常是发现。  诱饵远短于第二背鳍棘。  饵球球状的有短丝状突起。  皮肤平滑的， 没有表皮的小刺; 胸鳍悄悄靠近与身体分离为大部分的它的长度.
黑娃娃,Antennarius commerson,康氏躄鱼,副棘鳍总目,进来多种颜色:  黄色的﹐橘色的﹐和绿色的﹐褐色﹐与黑色的。  诱饵的骨质部份大约等于第二背鳍棘 (10.2-16.9% SL) 的长度; 饵球一个平附肢的小簇.  Illicial 长度在 %SL: 19.3-25.2.  薄膜在后第二背鳍棘厚而小刺状的， 延伸至第三个的基底. 最大的种之一.
黄娃娃,Antennarius maculatus,大斑躄鱼,副棘鳍总目,特徵为很多的突出瘤状的突起在它的皮肤与拟态一个极小的鱼的一个大的饵球了。  诱饵的骨质部份有很多的交叉条纹而且大约两倍长于第二背鳍棘。  体色变异很大， 范围从乳黄色的到黄色的，褐色， 否则黑色的有范围从的分散的深色圆形的斑点与鞍状斑或斑块白色到粉红的，赭红色，否则红色的。  有厚密斑点的个体与  A. pictus 相似.  通常有在所有的鳍上红色或者橘色的边缘，而且横过身体的第一个条纹对眼的后缘转移可用来与  A. pictus 区别.
红娃娃,Antennarius biocellatus,双斑躄鱼,副棘鳍总目,通常在软的背鳍上以一或二个假眼斑为特色。  对 14 公分的长度.
石娃娃,Antennarius pauciradiatus,巴哈马躄鱼,副棘鳍总目,在第二背鳍棘的顶端附近的成对的细长肉质的垂片。  只有一个有诱饵短于第二背鳍棘。
樱桃蛙,Synchiropus moyeri,摩氏连鳍䲗,喉鳍目,"

Synchiropus moyeri, commonly known as Moyer's dragonet, is a species of fish in the family Callionymidae, the dragonets. It is found in the western Pacific Ocean.[2]

This species reaches a length of 7.5 cm (3.0 in).[3]

The fish is named in honor of marine biologist Jack T. Moyer (1929-2004), who was director of the Tatsuo Tanaka Memorial Biological Station at Miyake-jima, Japan, for his “noteworthy contributions to the knowledge of the fishes of Miyake-jima, and in deep appreciation of the encouragement and logistic support he has provided to both of the authors”.[4]



This Callionymidae article is a stub. You can help Wikipedia by expanding it."
火麒麟,Synchiropus stellatus,红斑连鳍䲗,喉鳍目,身体有斑点的粉红色或金色的上方有银色的在深墨黑色的星形斑块之间的斑点， 银色的有暗红色下面的斑点; 第一背鳍有在雄性中的线与假眼斑， 在雌性中末梢部地黑色的有白色的边缘.
五彩青蛙,Synchiropus splendidus,花斑连鳍䲗,喉鳍目,稀有的个体有一个鲜红色底色。   前鳃盖骨棘 0[2-5/0]1.
